"Libellé";"Indice des prix de production de la construction neuve à usage d'habitation - Base 2015";"Codes"
"idBank";"010567001";""
"Période";"";""
"1953-T4";"6.2";"A"
"1954-T1";"6.1";"A"
"1954-T2";"6.2";"A"
"1954-T3";"6.0";"A"
"1954-T4";"6.0";"A"
"1955-T1";"6.2";"A"
"1955-T2";"6.3";"A"
"1955-T3";"6.4";"A"
"1955-T4";"6.5";"A"
"1956-T1";"6.8";"A"
"1956-T2";"7.1";"A"
"1956-T3";"7.3";"A"
"1956-T4";"7.4";"A"
"1957-T1";"7.5";"A"
"1957-T2";"7.7";"A"
"1957-T3";"7.9";"A"
"1957-T4";"8.1";"A"
"1958-T1";"8.5";"A"
"1958-T2";"8.5";"A"
"1958-T3";"8.6";"A"
"1958-T4";"8.6";"A"
"1959-T1";"8.8";"A"
"1959-T2";"8.8";"A"
"1959-T3";"8.8";"A"
"1959-T4";"8.8";"A"
"1960-T1";"8.9";"A"
"1960-T2";"8.7";"A"
"1960-T3";"8.8";"A"
"1960-T4";"8.8";"A"
"1961-T1";"8.8";"A"
"1961-T2";"8.9";"A"
"1961-T3";"8.9";"A"
"1961-T4";"9.1";"A"
"1962-T1";"9.2";"A"
"1962-T2";"9.3";"A"
"1962-T3";"9.4";"A"
"1962-T4";"9.6";"A"
"1963-T1";"9.8";"A"
"1963-T2";"10.4";"A"
"1963-T3";"10.5";"A"
"1963-T4";"10.6";"A"
"1964-T1";"10.7";"A"
"1964-T2";"10.9";"A"
"1964-T3";"11.1";"A"
"1964-T4";"11.4";"A"
"1965-T1";"11.5";"A"
"1965-T2";"11.6";"A"
"1965-T3";"11.7";"A"
"1965-T4";"11.7";"A"
"1966-T1";"11.8";"A"
"1966-T2";"11.9";"A"
"1966-T3";"12.0";"A"
"1966-T4";"12.0";"A"
"1967-T1";"12.0";"A"
"1967-T2";"12.1";"A"
"1967-T3";"12.2";"A"
"1967-T4";"12.2";"A"
"1968-T1";"12.2";"A"
"1968-T2";"12.4";"A"
"1968-T3";"12.9";"A"
"1968-T4";"13.1";"A"
"1969-T1";"13.3";"A"
"1969-T2";"13.3";"A"
"1969-T3";"13.4";"A"
"1969-T4";"13.5";"A"
"1970-T1";"13.6";"A"
"1970-T2";"13.7";"A"
"1970-T3";"13.8";"A"
"1970-T4";"13.9";"A"
"1971-T1";"14.3";"A"
"1971-T2";"14.5";"A"
"1971-T3";"14.7";"A"
"1971-T4";"14.9";"A"
"1972-T1";"15.1";"A"
"1972-T2";"15.3";"A"
"1972-T3";"15.5";"A"
"1972-T4";"15.9";"A"
"1973-T1";"16.2";"A"
"1973-T2";"16.6";"A"
"1973-T3";"16.9";"A"
"1973-T4";"17.3";"A"
"1974-T1";"18.0";"A"
"1974-T2";"18.6";"A"
"1974-T3";"19.9";"A"
"1974-T4";"20.9";"A"
"1975-T1";"21.3";"A"
"1975-T2";"21.8";"A"
"1975-T3";"22.0";"A"
"1975-T4";"22.5";"A"
"1976-T1";"23.1";"A"
"1976-T2";"24.1";"A"
"1976-T3";"24.9";"A"
"1976-T4";"25.6";"A"
"1977-T1";"25.7";"A"
"1977-T2";"26.5";"A"
"1977-T3";"27.0";"A"
"1977-T4";"27.7";"A"
"1978-T1";"27.9";"A"
"1978-T2";"28.4";"A"
"1978-T3";"29.1";"A"
"1978-T4";"30.8";"A"
"1979-T1";"31.0";"A"
"1979-T2";"31.5";"A"
"1979-T3";"32.4";"A"
"1979-T4";"33.8";"A"
"1980-T1";"35.1";"A"
"1980-T2";"36.2";"A"
"1980-T3";"37.3";"A"
"1980-T4";"37.6";"A"
"1981-T1";"38.9";"A"
"1981-T2";"39.2";"A"
"1981-T3";"40.2";"A"
"1981-T4";"41.5";"A"
"1982-T1";"43.0";"A"
"1982-T2";"44.2";"A"
"1982-T3";"45.2";"A"
"1982-T4";"44.9";"A"
